IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.144.191,4,4,0.00,5.90,0.00
172.64.144.121,4,4,0.00,5.90,0.00
172.64.144.161,4,4,0.00,5.90,0.00
104.19.154.249,4,4,0.00,5.90,0.00
104.16.151.249,4,4,0.00,5.90,0.00
104.16.201.157,4,4,0.00,5.91,0.00
104.17.145.133,4,4,0.00,5.91,0.00
104.17.176.65,4,4,0.00,5.91,0.00
104.17.122.207,4,4,0.00,5.91,0.00
104.19.32.142,4,4,0.00,5.91,0.00
198.41.208.236,4,4,0.00,5.91,0.00
104.16.146.233,4,4,0.00,5.91,0.00
104.16.150.166,4,4,0.00,5.91,0.00
104.17.123.241,4,4,0.00,5.91,0.00
104.17.188.231,4,4,0.00,5.91,0.00
104.17.162.181,4,4,0.00,5.91,0.00
104.16.146.145,4,4,0.00,5.91,0.00
104.17.217.129,4,4,0.00,5.91,0.00
104.16.146.164,4,4,0.00,5.92,0.00
104.17.178.242,4,4,0.00,5.92,0.00
104.16.148.129,4,4,0.00,5.92,0.00
104.17.123.124,4,4,0.00,5.92,0.00
104.17.209.110,4,4,0.00,5.92,0.00
198.41.208.234,4,4,0.00,5.92,0.00
104.16.144.221,4,4,0.00,5.92,0.00
104.17.171.117,4,4,0.00,5.92,0.00
104.16.205.175,4,4,0.00,5.92,0.00
104.18.90.253,4,4,0.00,5.92,0.00
104.16.196.123,4,4,0.00,5.92,0.00
104.17.149.153,4,4,0.00,5.92,0.00
104.19.151.99,4,4,0.00,5.92,0.00
104.17.210.144,4,4,0.00,5.92,0.00
198.41.208.238,4,4,0.00,5.92,0.00
104.17.154.163,4,4,0.00,5.92,0.00
104.16.148.223,4,4,0.00,5.93,0.00
104.17.177.219,4,4,0.00,5.93,0.00
104.18.94.191,4,4,0.00,5.93,0.00
104.18.80.150,4,4,0.00,5.93,0.00
104.17.223.159,4,4,0.00,5.93,0.00
104.17.172.204,4,4,0.00,5.93,0.00
104.17.213.128,4,4,0.00,5.93,0.00
104.16.153.223,4,4,0.00,5.93,0.00
104.16.201.133,4,4,0.00,5.93,0.00
104.16.206.103,4,4,0.00,5.93,0.00
104.18.39.146,4,4,0.00,5.93,0.00
104.17.186.141,4,4,0.00,5.93,0.00
104.17.103.55,4,4,0.00,5.93,0.00
104.16.193.255,4,4,0.00,5.93,0.00
104.17.153.121,4,4,0.00,5.94,0.00
104.19.144.189,4,4,0.00,5.94,0.00
104.18.94.157,4,4,0.00,5.94,0.00
104.16.151.25,4,4,0.00,5.94,0.00
104.16.205.173,4,4,0.00,5.94,0.00
104.19.151.165,4,4,0.00,5.94,0.00
172.64.152.169,4,4,0.00,5.94,0.00
104.18.85.146,4,4,0.00,5.94,0.00
104.17.168.182,4,4,0.00,5.94,0.00
104.17.150.133,4,4,0.00,5.94,0.00
104.16.195.247,4,4,0.00,5.94,0.00
104.18.176.231,4,4,0.00,5.94,0.00
104.19.144.211,4,4,0.00,5.94,0.00
104.17.223.200,4,4,0.00,5.94,0.00
198.41.212.109,4,4,0.00,5.94,0.00
104.16.146.175,4,4,0.00,5.95,0.00
104.16.151.122,4,4,0.00,5.95,0.00
104.17.109.197,4,4,0.00,5.95,0.00
104.18.43.172,4,4,0.00,5.95,0.00
104.16.144.120,4,4,0.00,5.95,0.00
104.16.240.182,4,4,0.00,5.95,0.00
104.16.246.187,4,4,0.00,5.95,0.00
104.16.145.75,4,4,0.00,5.95,0.00
104.16.155.233,4,4,0.00,5.95,0.00
104.16.144.227,4,4,0.00,5.95,0.00
104.17.124.221,4,4,0.00,5.95,0.00
104.17.148.251,4,4,0.00,5.95,0.00
104.17.144.240,4,4,0.00,5.96,0.00
104.16.243.219,4,4,0.00,5.96,0.00
198.41.209.132,4,4,0.00,5.96,0.00
104.16.144.167,4,4,0.00,5.96,0.00
104.16.201.143,4,4,0.00,5.96,0.00
104.17.151.197,4,4,0.00,5.96,0.00
104.16.144.178,4,4,0.00,5.96,0.00
104.17.223.133,4,4,0.00,5.96,0.00
104.17.145.155,4,4,0.00,5.96,0.00
104.17.170.140,4,4,0.00,5.96,0.00
104.16.194.248,4,4,0.00,5.96,0.00
104.18.82.171,4,4,0.00,5.96,0.00
104.18.92.250,4,4,0.00,5.96,0.00
104.17.183.118,4,4,0.00,5.96,0.00
104.17.181.123,4,4,0.00,5.96,0.00
104.16.146.221,4,4,0.00,5.96,0.00
104.16.207.169,4,4,0.00,5.96,0.00
104.17.187.59,4,4,0.00,5.97,0.00
104.17.175.110,4,4,0.00,5.97,0.00
104.17.221.83,4,4,0.00,5.97,0.00
104.19.148.151,4,4,0.00,5.97,0.00
104.17.173.185,4,4,0.00,5.97,0.00
104.16.150.108,4,4,0.00,5.97,0.00
104.17.175.101,4,4,0.00,5.97,0.00
104.17.216.141,4,4,0.00,5.97,0.00
104.18.81.215,4,4,0.00,5.97,0.00
104.16.145.55,4,4,0.00,5.97,0.00
172.64.157.237,4,4,0.00,5.97,0.00
104.16.253.162,4,4,0.00,5.97,0.00
104.17.176.239,4,4,0.00,5.97,0.00
104.17.215.141,4,4,0.00,5.97,0.00
104.16.196.192,4,4,0.00,5.97,0.00
104.17.168.172,4,4,0.00,5.97,0.00
104.19.159.144,4,4,0.00,5.98,0.00
104.17.181.168,4,4,0.00,5.98,0.00
104.17.188.136,4,4,0.00,5.98,0.00
104.16.200.35,4,4,0.00,5.98,0.00
104.17.118.141,4,4,0.00,5.98,0.00
104.18.40.101,4,4,0.00,5.98,0.00
104.17.159.238,4,4,0.00,5.98,0.00
104.19.151.251,4,4,0.00,5.98,0.00
198.41.220.183,4,4,0.00,5.98,0.00
172.64.158.116,4,4,0.00,5.98,0.00
104.16.195.229,4,4,0.00,5.98,0.00
104.18.176.216,4,4,0.00,5.98,0.00
172.64.158.210,4,4,0.00,5.98,0.00
104.17.161.160,4,4,0.00,5.98,0.00
104.17.124.158,4,4,0.00,5.98,0.00
104.16.150.188,4,4,0.00,5.98,0.00
104.17.174.142,4,4,0.00,5.98,0.00
104.19.158.209,4,4,0.00,5.98,0.00
104.17.209.101,4,4,0.00,5.99,0.00
104.16.206.190,4,4,0.00,5.99,0.00
104.17.151.113,4,4,0.00,5.99,0.00
104.17.118.174,4,4,0.00,5.99,0.00
104.16.194.5,4,4,0.00,5.99,0.00
104.17.223.204,4,4,0.00,5.99,0.00
104.17.111.127,4,4,0.00,5.99,0.00
104.18.47.157,4,4,0.00,5.99,0.00
104.17.170.39,4,4,0.00,5.99,0.00
104.17.144.241,4,4,0.00,5.99,0.00
104.18.47.177,4,4,0.00,6.00,0.00
104.17.129.199,4,4,0.00,6.00,0.00
104.17.220.111,4,4,0.00,6.00,0.00
104.17.111.207,4,4,0.00,6.00,0.00
104.16.151.213,4,4,0.00,6.00,0.00
104.16.148.103,4,4,0.00,6.00,0.00
104.17.168.164,4,4,0.00,6.00,0.00
104.18.87.221,4,4,0.00,6.00,0.00
104.16.197.191,4,4,0.00,6.00,0.00
104.17.186.216,4,4,0.00,6.00,0.00
104.17.176.95,4,4,0.00,6.00,0.00
104.17.121.83,4,4,0.00,6.00,0.00
104.16.198.116,4,4,0.00,6.00,0.00
104.17.156.106,4,4,0.00,6.00,0.00
104.16.203.110,4,4,0.00,6.00,0.00
104.16.146.246,4,4,0.00,6.01,0.00
104.16.156.155,4,4,0.00,6.01,0.00
104.16.159.181,4,4,0.00,6.01,0.00
104.16.202.234,4,4,0.00,6.01,0.00
104.17.159.221,4,4,0.00,6.01,0.00
104.16.200.137,4,4,0.00,6.01,0.00
104.16.156.183,4,4,0.00,6.01,0.00
104.16.144.235,4,4,0.00,6.01,0.00
104.18.42.123,4,4,0.00,6.01,0.00
104.19.155.190,4,4,0.00,6.01,0.00
104.16.146.121,4,4,0.00,6.01,0.00
104.16.153.222,4,4,0.00,6.01,0.00
104.16.144.112,4,4,0.00,6.01,0.00
104.17.160.125,4,4,0.00,6.01,0.00
104.17.210.151,4,4,0.00,6.01,0.00
198.41.208.109,4,4,0.00,6.02,0.00
104.16.156.115,4,4,0.00,6.02,0.00
104.16.150.43,4,4,0.00,6.02,0.00
104.19.153.103,4,4,0.00,6.02,0.00
104.19.157.153,4,4,0.00,6.02,0.00
104.17.186.169,4,4,0.00,6.02,0.00
104.16.207.187,4,4,0.00,6.02,0.00
104.17.220.214,4,4,0.00,6.02,0.00
104.16.144.180,4,4,0.00,6.02,0.00
104.16.150.250,4,4,0.00,6.02,0.00
104.17.184.178,4,4,0.00,6.02,0.00
104.17.223.250,4,4,0.00,6.02,0.00
172.64.158.226,4,4,0.00,6.03,0.00
104.16.158.158,4,4,0.00,6.03,0.00
104.16.146.39,4,4,0.00,6.03,0.00
104.16.152.162,4,4,0.00,6.03,0.00
104.17.126.154,4,4,0.00,6.03,0.00
104.16.247.225,4,4,0.00,6.03,0.00
104.17.217.181,4,4,0.00,6.03,0.00
172.64.147.141,4,4,0.00,6.03,0.00
104.16.153.121,4,4,0.00,6.03,0.00
104.19.149.151,4,4,0.00,6.03,0.00
104.17.126.111,4,4,0.00,6.03,0.00
104.16.153.225,4,4,0.00,6.03,0.00
104.18.33.158,4,4,0.00,6.03,0.00
104.16.207.175,4,4,0.00,6.03,0.00
104.16.153.43,4,4,0.00,6.03,0.00
104.17.107.229,4,4,0.00,6.03,0.00
104.16.153.119,4,4,0.00,6.04,0.00
104.17.186.234,4,4,0.00,6.04,0.00
104.19.158.181,4,4,0.00,6.04,0.00
104.16.151.131,4,4,0.00,6.04,0.00
104.17.178.120,4,4,0.00,6.04,0.00
104.17.213.204,4,4,0.00,6.04,0.00
198.41.212.151,4,4,0.00,6.04,0.00
104.16.157.143,4,4,0.00,6.04,0.00
104.17.216.121,4,4,0.00,6.04,0.00
172.64.158.120,4,4,0.00,6.04,0.00
104.17.186.101,4,4,0.00,6.04,0.00
104.17.216.191,4,4,0.00,6.04,0.00
104.16.148.218,4,4,0.00,6.04,0.00
104.16.200.241,4,4,0.00,6.04,0.00
104.16.242.159,4,4,0.00,6.04,0.00
104.16.152.118,4,4,0.00,6.04,0.00
104.17.218.184,4,4,0.00,6.04,0.00
104.16.144.230,4,4,0.00,6.05,0.00
104.16.155.166,4,4,0.00,6.05,0.00
104.17.150.140,4,4,0.00,6.05,0.00
104.18.95.251,4,4,0.00,6.05,0.00
104.16.144.182,4,4,0.00,6.05,0.00
104.18.83.157,4,4,0.00,6.05,0.00
104.17.150.100,4,4,0.00,6.05,0.00
104.16.192.221,4,4,0.00,6.05,0.00
104.16.146.166,4,4,0.00,6.05,0.00
104.17.147.150,4,4,0.00,6.05,0.00
104.17.218.128,4,4,0.00,6.05,0.00
104.16.245.206,4,4,0.00,6.05,0.00
104.17.144.244,4,4,0.00,6.05,0.00
104.16.200.169,4,4,0.00,6.06,0.00
104.17.148.161,4,4,0.00,6.06,0.00
104.17.120.251,4,4,0.00,6.06,0.00
104.17.155.184,4,4,0.00,6.06,0.00
104.16.144.193,4,4,0.00,6.06,0.00
104.16.146.131,4,4,0.00,6.06,0.00
104.16.240.237,4,4,0.00,6.06,0.00
104.16.241.235,4,4,0.00,6.07,0.00
104.16.144.159,4,4,0.00,6.07,0.00
104.18.40.246,4,4,0.00,6.07,0.00
104.18.93.224,4,4,0.00,6.07,0.00
172.64.147.253,4,4,0.00,6.07,0.00
104.18.46.246,4,4,0.00,6.07,0.00
104.17.167.175,4,4,0.00,6.07,0.00
104.17.177.185,4,4,0.00,6.07,0.00
104.16.195.200,4,4,0.00,6.07,0.00
104.17.153.231,4,4,0.00,6.07,0.00
104.19.153.171,4,4,0.00,6.08,0.00
104.16.152.155,4,4,0.00,6.08,0.00
104.18.46.201,4,4,0.00,6.08,0.00
104.17.165.143,4,4,0.00,6.08,0.00
104.19.150.221,4,4,0.00,6.08,0.00
104.16.245.111,4,4,0.00,6.08,0.00
104.16.200.155,4,4,0.00,6.08,0.00
104.17.152.201,4,4,0.00,6.08,0.00
104.17.165.202,4,4,0.00,6.08,0.00
104.19.144.248,4,4,0.00,6.08,0.00
172.64.228.165,4,4,0.00,6.08,0.00
104.16.193.151,4,4,0.00,6.08,0.00
104.16.159.174,4,4,0.00,6.09,0.00
104.17.187.241,4,4,0.00,6.09,0.00
104.17.126.201,4,4,0.00,6.09,0.00
104.18.46.120,4,4,0.00,6.09,0.00
104.17.118.138,4,4,0.00,6.09,0.00
104.17.164.187,4,4,0.00,6.09,0.00
104.17.166.119,4,4,0.00,6.09,0.00
104.17.175.195,4,4,0.00,6.09,0.00
104.16.153.73,4,4,0.00,6.09,0.00
172.64.158.173,4,4,0.00,6.09,0.00
104.17.215.160,4,4,0.00,6.09,0.00
104.17.210.206,4,4,0.00,6.09,0.00
104.16.157.111,4,4,0.00,6.09,0.00
104.17.182.202,4,4,0.00,6.09,0.00
104.16.148.177,4,4,0.00,6.09,0.00
104.18.94.235,4,4,0.00,6.09,0.00
104.16.151.232,4,4,0.00,6.09,0.00
104.16.254.151,4,4,0.00,6.09,0.00
104.17.171.144,4,4,0.00,6.09,0.00
104.16.198.193,4,4,0.00,6.10,0.00
104.17.210.141,4,4,0.00,6.10,0.00
104.17.180.104,4,4,0.00,6.10,0.00
104.16.155.184,4,4,0.00,6.10,0.00
104.17.219.155,4,4,0.00,6.10,0.00
104.16.153.208,4,4,0.00,6.10,0.00
104.17.156.117,4,4,0.00,6.10,0.00
104.18.92.232,4,4,0.00,6.10,0.00
104.18.89.153,4,4,0.00,6.10,0.00
104.18.40.175,4,4,0.00,6.10,0.00
104.19.155.123,4,4,0.00,6.10,0.00
104.16.144.140,4,4,0.00,6.10,0.00
104.17.123.79,4,4,0.00,6.10,0.00
104.17.151.144,4,4,0.00,6.10,0.00
104.16.196.205,4,4,0.00,6.11,0.00
104.16.152.117,4,4,0.00,6.11,0.00
104.17.123.139,4,4,0.00,6.11,0.00
104.16.158.111,4,4,0.00,6.11,0.00
104.16.206.209,4,4,0.00,6.11,0.00
104.16.151.119,4,4,0.00,6.11,0.00
104.16.202.167,4,4,0.00,6.11,0.00
104.17.182.240,4,4,0.00,6.11,0.00
104.16.192.195,4,4,0.00,6.11,0.00
104.17.163.121,4,4,0.00,6.11,0.00
104.16.195.119,4,4,0.00,6.11,0.00
104.17.166.133,4,4,0.00,6.11,0.00
104.17.168.170,4,4,0.00,6.12,0.00
104.17.103.220,4,4,0.00,6.12,0.00
104.16.154.192,4,4,0.00,6.12,0.00
104.16.193.162,4,4,0.00,6.12,0.00
104.16.149.203,4,4,0.00,6.12,0.00
104.16.156.142,4,4,0.00,6.12,0.00
104.16.155.215,4,4,0.00,6.12,0.00
104.17.218.186,4,4,0.00,6.12,0.00
198.41.209.249,4,4,0.00,6.12,0.00
104.17.118.147,4,4,0.00,6.12,0.00
104.16.144.163,4,4,0.00,6.12,0.00
104.16.153.152,4,4,0.00,6.12,0.00
104.16.201.138,4,4,0.00,6.12,0.00
104.16.146.210,4,4,0.00,6.12,0.00
104.16.198.220,4,4,0.00,6.12,0.00
104.17.221.177,4,4,0.00,6.12,0.00
172.64.154.113,4,4,0.00,6.12,0.00
104.17.146.245,4,4,0.00,6.13,0.00
104.17.175.251,4,4,0.00,6.13,0.00
104.16.205.161,4,4,0.00,6.13,0.00
172.64.229.155,4,4,0.00,6.13,0.00
104.19.147.143,4,4,0.00,6.13,0.00
104.17.154.235,4,4,0.00,6.13,0.00
104.16.160.199,4,4,0.00,6.13,0.00
104.16.148.207,4,4,0.00,6.13,0.00
104.17.216.182,4,4,0.00,6.13,0.00
104.17.167.115,4,4,0.00,6.13,0.00
104.16.196.43,4,4,0.00,6.13,0.00
104.18.42.139,4,4,0.00,6.13,0.00
104.16.158.220,4,4,0.00,6.13,0.00
104.16.244.195,4,4,0.00,6.13,0.00
104.16.146.127,4,4,0.00,6.13,0.00
104.16.242.181,4,4,0.00,6.13,0.00
104.17.164.110,4,4,0.00,6.13,0.00
104.16.151.219,4,4,0.00,6.13,0.00
104.16.151.182,4,4,0.00,6.13,0.00
104.17.223.246,4,4,0.00,6.13,0.00
104.16.144.103,4,4,0.00,6.13,0.00
104.16.199.249,4,4,0.00,6.13,0.00
104.16.144.173,4,4,0.00,6.13,0.00
104.16.196.208,4,4,0.00,6.14,0.00
104.16.159.193,4,4,0.00,6.14,0.00
104.17.219.227,4,4,0.00,6.14,0.00
198.41.212.164,4,4,0.00,6.14,0.00
104.17.174.216,4,4,0.00,6.14,0.00
104.17.157.110,4,4,0.00,6.14,0.00
198.41.209.239,4,4,0.00,6.14,0.00
104.19.158.248,4,4,0.00,6.14,0.00
104.16.151.73,4,4,0.00,6.14,0.00
104.16.159.240,4,4,0.00,6.15,0.00
104.16.241.212,4,4,0.00,6.15,0.00
104.16.242.251,4,4,0.00,6.15,0.00
104.16.148.19,4,4,0.00,6.15,0.00
104.17.156.128,4,4,0.00,6.15,0.00
104.16.246.114,4,4,0.00,6.15,0.00
104.16.146.231,4,4,0.00,6.15,0.00
104.17.220.222,4,4,0.00,6.15,0.00
104.17.109.99,4,4,0.00,6.15,0.00
104.16.157.170,4,4,0.00,6.15,0.00
104.16.156.249,4,4,0.00,6.15,0.00
104.16.252.139,4,4,0.00,6.15,0.00
104.19.150.197,4,4,0.00,6.15,0.00
104.16.146.130,4,4,0.00,6.15,0.00
172.64.158.224,4,4,0.00,6.15,0.00
104.16.207.251,4,4,0.00,6.16,0.00
104.16.144.139,4,4,0.00,6.16,0.00
104.16.150.112,4,4,0.00,6.16,0.00
104.17.170.129,4,4,0.00,6.16,0.00
104.17.215.233,4,4,0.00,6.16,0.00
104.17.167.185,4,4,0.00,6.16,0.00
104.17.105.171,4,4,0.00,6.16,0.00
104.17.125.199,4,4,0.00,6.16,0.00
104.17.104.255,4,4,0.00,6.16,0.00
104.16.149.196,4,4,0.00,6.16,0.00
104.16.150.181,4,4,0.00,6.16,0.00
104.16.194.171,4,4,0.00,6.16,0.00
104.16.150.173,4,4,0.00,6.16,0.00
104.19.152.144,4,4,0.00,6.16,0.00
104.16.151.137,4,4,0.00,6.17,0.00
104.16.206.169,4,4,0.00,6.17,0.00
104.16.157.252,4,4,0.00,6.17,0.00
104.17.223.202,4,4,0.00,6.17,0.00
104.16.151.183,4,4,0.00,6.17,0.00
104.17.148.150,4,4,0.00,6.17,0.00
104.18.88.167,4,4,0.00,6.17,0.00
104.17.216.150,4,4,0.00,6.17,0.00
104.17.178.245,4,4,0.00,6.17,0.00
104.16.156.135,4,4,0.00,6.18,0.00
104.16.206.159,4,4,0.00,6.18,0.00
104.17.217.135,4,4,0.00,6.18,0.00
104.16.145.171,4,4,0.00,6.18,0.00
104.16.207.252,4,4,0.00,6.18,0.00
104.17.171.253,4,4,0.00,6.18,0.00
104.16.209.89,4,4,0.00,6.18,0.00
104.17.175.241,4,4,0.00,6.18,0.00
104.18.91.139,4,4,0.00,6.18,0.00
104.16.192.227,4,4,0.00,6.18,0.00
104.17.153.43,4,4,0.00,6.18,0.00
104.16.207.173,4,4,0.00,6.18,0.00
104.16.195.211,4,4,0.00,6.18,0.00
104.16.144.233,4,4,0.00,6.19,0.00
104.19.160.209,4,4,0.00,6.19,0.00
104.18.92.191,4,4,0.00,6.19,0.00
104.18.90.19,4,4,0.00,6.19,0.00
104.16.157.189,4,4,0.00,6.19,0.00
104.16.194.117,4,4,0.00,6.19,0.00
104.16.146.224,4,4,0.00,6.19,0.00
104.16.153.145,4,4,0.00,6.19,0.00
104.16.144.179,4,4,0.00,6.19,0.00
104.17.187.153,4,4,0.00,6.19,0.00
104.19.154.150,4,4,0.00,6.19,0.00
104.16.149.174,4,4,0.00,6.19,0.00
104.16.148.105,4,4,0.00,6.19,0.00
104.16.155.217,4,4,0.00,6.19,0.00
104.17.118.126,4,4,0.00,6.19,0.00
104.17.168.232,4,4,0.00,6.19,0.00
104.17.124.113,4,4,0.00,6.19,0.00
104.17.127.121,4,4,0.00,6.19,0.00
104.16.146.156,4,4,0.00,6.19,0.00
104.16.148.111,4,4,0.00,6.19,0.00
104.17.167.226,4,4,0.00,6.19,0.00
104.16.199.110,4,4,0.00,6.19,0.00
104.16.201.184,4,4,0.00,6.19,0.00
104.16.151.233,4,4,0.00,6.19,0.00
104.16.152.121,4,4,0.00,6.20,0.00
104.16.148.175,4,4,0.00,6.20,0.00
104.17.215.251,4,4,0.00,6.20,0.00
104.16.147.43,4,4,0.00,6.20,0.00
104.17.148.231,4,4,0.00,6.20,0.00
104.16.201.111,4,4,0.00,6.20,0.00
104.16.198.130,4,4,0.00,6.20,0.00
104.17.117.221,4,4,0.00,6.20,0.00
104.16.162.183,4,4,0.00,6.20,0.00
104.17.188.187,4,4,0.00,6.20,0.00
104.17.157.171,4,4,0.00,6.20,0.00
104.17.191.103,4,4,0.00,6.20,0.00
104.16.199.147,4,4,0.00,6.20,0.00
104.17.213.124,4,4,0.00,6.20,0.00
104.16.146.208,4,4,0.00,6.20,0.00
104.18.35.233,4,4,0.00,6.20,0.00
104.17.218.175,4,4,0.00,6.20,0.00
104.16.196.35,4,4,0.00,6.20,0.00
104.17.149.141,4,4,0.00,6.20,0.00
104.16.145.105,4,4,0.00,6.20,0.00
104.17.122.154,4,4,0.00,6.20,0.00
104.16.155.167,4,4,0.00,6.20,0.00
104.16.144.217,4,4,0.00,6.20,0.00
104.17.172.148,4,4,0.00,6.20,0.00
104.19.153.224,4,4,0.00,6.21,0.00
104.16.152.195,4,4,0.00,6.21,0.00
104.18.92.241,4,4,0.00,6.21,0.00
104.16.144.187,4,4,0.00,6.21,0.00
104.16.243.165,4,4,0.00,6.21,0.00
104.17.214.136,4,4,0.00,6.21,0.00
104.17.166.251,4,4,0.00,6.21,0.00
104.18.80.224,4,4,0.00,6.21,0.00
172.64.158.119,4,4,0.00,6.21,0.00
104.16.245.139,4,4,0.00,6.21,0.00
104.17.124.179,4,4,0.00,6.22,0.00
104.16.160.69,4,4,0.00,6.22,0.00
104.16.156.120,4,4,0.00,6.22,0.00
104.16.147.223,4,4,0.00,6.22,0.00
104.16.208.55,4,4,0.00,6.22,0.00
104.17.126.231,4,4,0.00,6.22,0.00
104.17.210.139,4,4,0.00,6.22,0.00
104.16.198.251,4,4,0.00,6.22,0.00
104.16.203.157,4,4,0.00,6.22,0.00
104.16.244.154,4,4,0.00,6.22,0.00
104.16.144.181,4,4,0.00,6.22,0.00
104.18.47.202,4,4,0.00,6.22,0.00
104.16.148.168,4,4,0.00,6.22,0.00
104.17.161.204,4,4,0.00,6.22,0.00
104.17.117.143,4,4,0.00,6.23,0.00
104.16.153.106,4,4,0.00,6.23,0.00
104.17.163.219,4,4,0.00,6.23,0.00
104.16.242.162,4,4,0.00,6.23,0.00
104.18.88.171,4,4,0.00,6.23,0.00
104.17.158.248,4,4,0.00,6.23,0.00
104.16.153.134,4,4,0.00,6.23,0.00
104.16.144.220,4,4,0.00,6.23,0.00
104.19.150.212,4,4,0.00,6.23,0.00
104.17.212.159,4,4,0.00,6.23,0.00
104.16.150.223,4,4,0.00,6.23,0.00
104.17.170.243,4,4,0.00,6.23,0.00
104.17.171.197,4,4,0.00,6.23,0.00
104.16.194.231,4,4,0.00,6.23,0.00
104.17.220.201,4,4,0.00,6.23,0.00
104.17.117.188,4,4,0.00,6.24,0.00
104.17.105.248,4,4,0.00,6.24,0.00
104.16.148.102,4,4,0.00,6.24,0.00
104.16.151.175,4,4,0.00,6.24,0.00
104.17.171.25,4,4,0.00,6.24,0.00
104.19.144.245,4,4,0.00,6.24,0.00
104.16.195.103,4,4,0.00,6.24,0.00
104.17.153.73,4,4,0.00,6.24,0.00
104.17.152.213,4,4,0.00,6.24,0.00
104.16.144.133,4,4,0.00,6.24,0.00
104.16.247.206,4,4,0.00,6.24,0.00
104.17.208.158,4,4,0.00,6.25,0.00
104.16.192.247,4,4,0.00,6.25,0.00
104.16.151.184,4,4,0.00,6.25,0.00
104.17.127.198,4,4,0.00,6.25,0.00
104.16.146.19,4,4,0.00,6.25,0.00
104.16.204.231,4,4,0.00,6.25,0.00
104.17.219.219,4,4,0.00,6.25,0.00
104.17.170.207,4,4,0.00,6.25,0.00
104.17.158.253,4,4,0.00,6.25,0.00
104.16.198.183,4,4,0.00,6.25,0.00
104.16.195.140,4,4,0.00,6.25,0.00
104.16.193.174,4,4,0.00,6.25,0.00
104.16.148.208,4,4,0.00,6.25,0.00
104.16.153.111,4,4,0.00,6.25,0.00
104.16.152.196,4,4,0.00,6.26,0.00
104.16.157.102,4,4,0.00,6.26,0.00
104.17.164.140,4,4,0.00,6.26,0.00
104.16.157.224,4,4,0.00,6.26,0.00
104.16.153.63,4,4,0.00,6.26,0.00
104.18.80.103,4,4,0.00,6.26,0.00
104.16.204.110,4,4,0.00,6.26,0.00
104.16.157.222,4,4,0.00,6.26,0.00
104.17.144.170,4,4,0.00,6.26,0.00
104.19.152.215,4,4,0.00,6.26,0.00
104.16.206.175,4,4,0.00,6.26,0.00
104.16.251.208,4,4,0.00,6.26,0.00
104.17.121.211,4,4,0.00,6.26,0.00
104.18.82.180,4,4,0.00,6.26,0.00
104.16.152.106,4,4,0.00,6.27,0.00
104.16.155.114,4,4,0.00,6.27,0.00
104.16.144.198,4,4,0.00,6.27,0.00
104.17.219.192,4,4,0.00,6.27,0.00
104.17.150.197,4,4,0.00,6.27,0.00
104.17.220.187,4,4,0.00,6.27,0.00
104.17.163.186,4,4,0.00,6.27,0.00
104.16.144.155,4,4,0.00,6.27,0.00
104.17.164.139,4,4,0.00,6.27,0.00
104.16.144.239,4,4,0.00,6.27,0.00
104.16.152.229,4,4,0.00,6.27,0.00
104.17.157.115,4,4,0.00,6.27,0.00
104.19.149.103,4,4,0.00,6.27,0.00
104.17.122.255,4,4,0.00,6.27,0.00
104.16.145.211,4,4,0.00,6.28,0.00
104.17.115.169,4,4,0.00,6.28,0.00
104.16.200.251,4,4,0.00,6.28,0.00
104.16.241.131,4,4,0.00,6.28,0.00
104.17.191.236,4,4,0.00,6.28,0.00
104.17.218.179,4,4,0.00,6.28,0.00
104.17.123.122,4,4,0.00,6.28,0.00
104.18.42.178,4,4,0.00,6.28,0.00
104.16.197.199,4,4,0.00,6.28,0.00
104.17.180.149,4,4,0.00,6.28,0.00
104.17.147.170,4,4,0.00,6.28,0.00
172.64.155.184,4,4,0.00,6.28,0.00
104.16.254.172,4,4,0.00,6.28,0.00
104.16.198.230,4,4,0.00,6.28,0.00
104.17.170.175,4,4,0.00,6.29,0.00
104.16.146.199,4,4,0.00,6.29,0.00
104.18.49.69,4,4,0.00,6.29,0.00
104.17.161.233,4,4,0.00,6.29,0.00
104.16.146.128,4,4,0.00,6.29,0.00
104.17.148.154,4,4,0.00,6.29,0.00
104.17.110.127,4,4,0.00,6.29,0.00
104.16.193.169,4,4,0.00,6.29,0.00
104.17.211.136,4,4,0.00,6.29,0.00
104.19.158.240,4,4,0.00,6.29,0.00
104.17.122.39,4,4,0.00,6.29,0.00
104.17.158.236,4,4,0.00,6.29,0.00
104.16.144.209,4,4,0.00,6.29,0.00
104.16.196.203,4,4,0.00,6.29,0.00
104.16.205.107,4,4,0.00,6.29,0.00
104.17.149.209,4,4,0.00,6.29,0.00
104.19.154.3,4,4,0.00,6.30,0.00
104.18.85.135,4,4,0.00,6.30,0.00
104.18.42.121,4,4,0.00,6.30,0.00
104.17.190.100,4,4,0.00,6.30,0.00
104.16.193.210,4,4,0.00,6.30,0.00
104.16.157.151,4,4,0.00,6.30,0.00
104.17.209.214,4,4,0.00,6.30,0.00
104.17.176.153,4,4,0.00,6.30,0.00
104.17.210.107,4,4,0.00,6.30,0.00
104.17.185.117,4,4,0.00,6.31,0.00
104.16.206.63,4,4,0.00,6.31,0.00
104.16.148.203,4,4,0.00,6.31,0.00
104.16.149.211,4,4,0.00,6.31,0.00
